file	sumTIC
AMBIENT114_160903_7.CDF	263739815
AMBIENT123_160904_6.CDF	523283748
AMBIENT143_161116_7.CDF	145121439
AMBIENT164_161120_1.CDF	119377102
AMBIENT174_161130_7.CDF	112906320
AMBIENT18_160626.CDF	654132193
AMBIENT182_161204_2.CDF	150362926
AMBIENT23_160625.CDF	272777116
AMBIENT236_170301_7.CDF	102815273
AMBIENT242_170302_7.CDF	124303190
AMBIENT243_170405_4.CDF	160698690
AMBIENT25_160714.CDF	388596131
AMBIENT31_160719_3.CDF	297475699
AMBIENT61_160803_4.CDF	394201808
AMBIENT71_160816_3.CDF	299823319
AMBIENT83_160818_3.CDF	275123567
KAHO150_161119_1.CDF	208419122
KAHO151_161119_2.CDF	207873153
KAHO152_161119_3.CDF	237475170
KAHO154_161120_2.CDF	130691388
KAHO155_161120_3.CDF	157774429
KAHO156_161120_4.CDF	186665557
KAHO158_161120_5.CDF	193939345
KAHO159_161120_6.CDF	112689149
KAHO160_161120_7.CDF	240048330
KAHO161_161120_8.CDF	151475733
SHOOKERI26_160714.CDF	379466726
SHOOKERI274_170411_2.CDF	289435058
SHOOKERI276_170411_4.CDF	209378282
SHOOKERI280_170412_3.CDF	235411103
SHOOKERI282_170412_5.CDF	235660761
SHOOKERI283_170412_6.CDF	146543150
SHOOKERI29_160719_6.CDF	303809349
SHOOKERI56_160803_9.CDF	454788575
SHOOKERI60_160803_3.CDF	400198068
SHOOKERI69_160816_0.CDF	334623060
SHOOKERI70_160816_1.CDF	388880245
SHOOKERI81_160818_3.CDF	306920431
SHOOKERI82_160818_4.CDF	311111235
SKAALAE24_160714.CDF	429935387
SKAALAE247_170405_9.CDF	311704729
SKAALAE275_170411_3.CDF	349210634
SKAALAE277_170411_5.CDF	309114006
SKAALAE278_170411_6.CDF	246727439
SKAALAE279_170412_2.CDF	158799890
SKAALAE28_160719_7.CDF	419116744
SKAALAE281_170412_4.CDF	252459837
SKAALAE30_160719_5.CDF	423106092
SKAALAE78_160818_0.CDF	371537466
SKAALAE79_160818_1.CDF	276284624
SKAALAE80_160818_2.CDF	434099283
SKAHO139_161116_3.CDF	248049894
SKAHO140_161116_4.CDF	170368863
SKAHO141_161116_5.CDF	231500966
SKAHO142_161116_6.CDF	270975579
SKAHO144_161116_8.CDF	252990993
SKAHO145_161116_9.CDF	222033327
SKAHO153_161119_4.CDF	239492119
SKAHO165_161130_8.CDF	147014168
SKAHO166_161130_9.CDF	177074694
SKAHO167_161130_0.CDF	159493996
SKAHO168_161130_1.CDF	122093373
SKAHO169_161130_2.CDF	124162173
SKAHO170_161130_3.CDF	128520381
SKAHO171_161130_4.CDF	95629422
SKAHO172_161130_5.CDF	186849560
SKAHO173_161130_6.CDF	134439070
SKAHO175_170112_3.CDF	186820019
SKAHO176_170112_4.CDF	243589806
SKAHO177_170112_5.CDF	113639533
SKAHO178_170112_6.CDF	277036984
SKAHO179_170109_2.CDF	155696529
SKAHO180_170111_2.CDF	186856920
SKAHO181_170112_2.CDF	104092879
SKAHO183_161204_3.CDF	156720528
SKAHO184_161204_4.CDF	192112561
SKAHO185_161204_5.CDF	493430052
SKAHO186_161204_6.CDF	331859564
SKAHO187_170109_9.CDF	217510709
SKAHO188_170109_0.CDF	262134943
