"FileName"	"CAS"	"Name"	"RT"	"RI"	"Width"	"Purity"	"Model"	"Min. Abund."	"Amount"	"Scan"	"Peak Tailing"	"S/N (total)"	"Base Peak"	"Max. Amount"	"Area"	"Intgr.Signal"	"Max. Area"	"Extra Width"	"Models"	"Frac. Good"	"Expec. RT"	"RI-RI(lib)"	"Net"	"Weighted"	"Simple"	"Reverse"	"Corrections"	"(m/z)"	"S/N (m/z)"	"Area % (m/z)"	"Conc."	"RT-RT(lib)"
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	108883	">Toluene"	3.7908	772.2	8	"57%"	"TIC"	"1.6%"	"0.0288%"	125	1	45	14214		0					0				92		92						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	108883	">Toluene"	3.7971	772.5	7.7	"61%"	"92 m/z"	"1.6%"	"0.0391%"	126	1.1	45	14164		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	111659	">Octane"	4.3081	800.1	6.6	"74%"	"85 m/z"	"2.2%"	"0.0430%"	215	1.3	56	10266		0					0				95		95						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	66251	">Hexanal"	4.4172	806	6.3	"69%"	"56 m/z"	"1.4%"	"0.0391%"	234	2.2	55	15698		0					0				95		95						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	541059	">Cyclotrisiloxane, hexamethyl-"	4.7602	824.5	5.9	"62%"	"207 m/z"	"1.7%"	"0.0253%"	294	1	42	13217		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	"EPA-273020"	">5H-Tetrazol-5-amine"	5.0625	840.9	6	"36%"	"57 m/z"	"2.3%"	"0.0109%"	347	1.4	31	10030		0					0				88		96						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	111842	">Nonane"	5.0659	841.1	8.7	"53%"	"TIC"	"2.2%"	"0.0175%"	348	2.1	38	10227		0					0				70		70						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	498602	">3-Furaldehyde"	5.1071	843.3	6.5	"14%"	"95 m/z"	"12%"	"0.00400%"	354	2.3	16	1919		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	96220	">3-Pentanone"	5.3225	854.9	18.1	"24%"	"57 m/z (56)"	"0.015%"	"4.90%"	393	0.9	365	1488280		0					0				90		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	110543	">n-Hexane"	5.3471	856.2	">19"	"36%"	"TIC"	"0.016%"	"2.92%"	397	0.9	460	1402971		0					0				95		95						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	110543	">n-Hexane"	5.3511	856.5	14.7	"29%"	"56 m/z"	"0.023%"	"1.72%"	398	1.1	410	1003538		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	674760	">2-Pentene, 4-methyl-, (E)-"	5.3654	857.2	14.3	"9.4%"	"55 m/z (56)"	"0.063%"	"1.67%"	400	1.3	228	366221		0					0				78		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	98566	">Benzene, 1-chloro-4-(trifluoromethyl)-"	5.382	858.1	6.5	"0.20%"	"180 m/z (56)"	"10%"	"0.0135%"	403	1.1	31	2284		0					0				73		73						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\AMBIENT\AMBIENT18_160626.FIN"	96377	">Cyclopentane, methyl-"	5.4054	859.4	">21"	"17%"	"69 m/z"	"0.053%"	"1.51%"	407	1.2	262	431029		0					0				95		96						
