date,observer,stick,trt,base,start,stop,approach.trt,approach.ctrl,visit.trt,visit.ctrl,notes
2019-03-29,JMP,1,IN2,KEAL,18:20,19:24,1,2,2,1,
2019-03-29,JMP,2,MA0,KEAL,19:51,20:10,0,0,0,0,"moth flight activity low, 18C, no end time"
2019-03-31,JMP,1,KAAL2,KEAL,17:53,19:37,4,4,1,1,far stick
2019-03-31,JMP,2,KAAL2,KEAL,17:53,19:37,2,4,0,0,near stick
2019-04-01,JMP,1,KAAL2,GLOB,18:00,19:09,13,2,0,5,"one stick, trt side had no open GLOB flowers"
2019-04-01,JMP,2,KAAL2,GLOB,19:09,19:43,5,1,0,0,replaced trt side with 2 small GLOB inflos
2019-03-29,DRC,1,PA2,KEAL,18:02,19:03,2,0,0,0,
2019-03-29,DRC,2,LP1,KEAL,19:03,19:33,0,1,0,0,
2019-03-29,DRC,3,OE2,KEAL,19:34,20:04,1,0,0,0,
2019-03-30,DRC,1,KAAL2,KEAL,18:49,19:19,10,3,0,1,"trt: ""approach, on bag"""
2019-03-31,DRC,1,KAAL2,KEAL,17:55,19:30,11,4,2,2,
2019-03-31,DRC,1,KAAL2,KEAL,17:55,19:30,5,4,4,0,
2019-04-01,DRC,1,KAAL2,GLOB,17:00,19:45,4,1,6,0,
2019-04-01,DRC,2,KAAL2,GLOB,17:00,19:45,2,3,1,0,
2019-03-29,SGW,1,PA2,KEAL,18:04,19:33,0,0,2,2,
2019-03-29,SGW,2,OE2,KEAL,19:33,20:03,0,0,0,1,
2019-03-30,SGW,1,KAAL2,KEAL,19:11,20:00,0,0,0,0,
2019-03-31,SGW,1,KAAL2,KEAL,17:54,19:39,2,1,0,0,
2019-03-31,SGW,2,KAAL2,KEAL,17:54,19:39,0,5,0,1,
2019-04-01,SGW,1,KAAL2,KEAL,18:00,19:44,5,0,0,2,
2019-04-01,SGW,2,KAAL2,KEAL,18:00,19:44,5,5,0,0,plus 1 visit to bag of ctrl
2019-03-29,SH,1,PA2,KEAL,18:04,19:04,0,0,0,0,
2019-03-29,SH,2,LF1,KEAL,19:09,19:39,0,0,0,0,
2019-03-29,SH,3,OO2,KEAL,19:40,20:03,0,0,0,0,
2019-04-02,JMP,1,KAAL3,KEAL,18:30,19:39,4,7,0,0,
2019-04-02,JMP,2,KAMIX2,stick,18:30,20:00,18,6,0,0,
2019-04-02,JMP,3,HOMIX2,stick,19:12,20:00,7,5,0,0,
2019-04-03,JMP,1,KAMIX2,stick,17:53,20:00,9,3,0,0,
2019-04-03,JMP,2,KAMIX2,stick,17:53,20:00,6,6,0,0,
2019-04-03,JMP,3,HOMIX2,stick,17:53,20:00,11,7,0,0,
2019-04-03,JMP,4,KAAL3,KEAL,17:53,20:00,2,3,1,0,
2019-04-02,SGW,1,KAAL3,KEAL,18:30,19:35,0,0,4,0,
2019-04-02,SGW,2,KAAL3,KEAL,18:30,19:35,1,0,0,0,
2019-04-03,SGW,1,KAAL3,GLOB,18:30,20:00,11,0,1,0,
2019-04-03,SGW,2,KAAL3,GLOB,18:30,20:00,3,1,2,0,
2019-04-02,DRC,1,KAAL3,KEAL,18:30,19:35,5,3,8,0,
2019-04-02,DRC,2,KAAL3,KEAL,18:30,19:35,5,1,4,0,
2019-04-03,DRC,1,KAAL3,GLOB,17:55,19:45,4,4,1,0,
2019-04-03,DRC,2,KAAL3,GLOB,17:55,19:45,3,1,4,0,
2019-04-04,DRC,1,KAMIX2,GLOB,18:30,19:36,2,0,0,0,
2019-04-04,DRC,1,KAAL,GLOB,19:06,19:36,2,1,1,0,
2019-04-04,JMP,1,HOMIX2,stick,18:54,19:29,3,0,1,0,
2019-04-04,JMP,2,KAMIX2,stick,18:54,19:29,6,7,1,0,
2019-04-04,JMP,3,HOMIX2,stick,18:54,19:29,7,7,0,0,
2019-04-04,JMP,4,HOMIX2,stick,18:54,19:29,5,1,0,0,
2019-03-30,LW,1,KAAL2,KEAL,17:45,19:00,0,0,0,0,Plant: EKA-E-1352
2019-03-30,LW,1,KAAL2,KEAL,19:00,20:00,3,1,2,2,
2019-04-01,AKL,1,KAAL2,GLOB,18:00,19:11,1,0,0,1,
